,Fahrtnummer,Fahrzeugnummer,Buchungskreis,Abfahrtsdatum,Messung,Zug id,Abfahrtszeit,Ankunftszeit,Entfernung km,Passagieranzahl,Abfahrtsbahnhof,Ankunftsbahnhof,grund
25000,6703658983.0,10.0,XXXX,2024-06-10,2333.12,6703658983,2024-06-09 21:40:44,2024-06-10 01:08:44,192,350,New Alexachester,East Annette,Duplicate
25001,3855774328.0,12.0,1003,2023-12-08,2914.65,3855774328,2024-06-19 15:47:24,2024-06-19 19:09:24,83,244,East Susanbury,Meyerstad,Duplicate
25002,4966654600.0,9.0,1001,2024-03-02,884.01,4966654600,2024-06-21 03:51:52,2024-06-21 05:54:52,505,394,Port Brittneytown,Jenniferbury,Duplicate
25003,2924503871.0,5.0,1003,2020-06-11,3465.87,2924503871,2024-06-08 04:28:15,2024-06-08 09:00:15,219,310,Williamtown,Tanyafurt,Duplicate
25004,7146049531.0,3.0,XXXX,2022-10-22,4469.59,7146049531,2024-05-31 02:52:58,2024-05-31 04:47:58,812,203,New Jillhaven,Lake Thomasview,Duplicate
25005,1492726250.0,4.0,1004,2022-11-28,4739.41,1492726250,2024-05-30 17:05:05,2024-05-30 19:14:05,337,80,New Sarahchester,Fraziertown,Duplicate
25006,5527906053.0,10.0,1008,2021-02-24,3294.81,5527906053,2024-06-11 01:17:36,2024-06-11 03:31:36,492,450,Suarezview,Spencemouth,Duplicate
25007,4116429775.0,11.0,1004,2023-01-22,4054.3,4116429775,2024-06-16 17:16:32,2024-06-16 18:44:32,202,287,New Kristen,Raymondville,Duplicate
25008,3357774873.0,1.0,1001,2020-12-28,2344.8,3357774873,2024-06-03 17:11:58,2024-06-03 18:14:58,282,353,Clarketon,Jonathanville,Duplicate
25009,4698614775.0,9.0,1000,2022-06-05,4886.46,4698614775,2024-06-17 05:45:13,2024-06-17 08:43:13,149,111,South Justinstad,Martinstad,Duplicate
25010,5944634620.0,4.0,1004,2022-01-23,4830.63,5944634620,2024-06-18 21:40:06,2024-06-18 23:13:06,68,475,Millerhaven,Port Terryport,Duplicate
25011,305579544.0,6.0,1000,2021-02-26,2029.17,0305579544,2024-06-06 03:28:54,2024-06-06 04:39:54,677,404,Lake Jenniferchester,West Jason,Duplicate
25012,5016968018.0,3.0,1008,2020-11-13,1736.42,5016968018,2024-06-24 22:41:25,2024-06-25 00:37:25,973,208,Edwinmouth,North Maria,Duplicate
25013,5848753151.0,12.0,1002,2020-01-17,1477.82,5848753151,2024-06-14 23:10:10,2024-06-15 02:59:10,810,140,Ashleystad,Nicholasstad,Duplicate
25014,8606813630.0,17.0,1009,2020-01-11,4812.24,8606813630,2024-06-08 06:24:30,2024-06-08 10:16:30,853,332,East Laurenfurt,Nobleland,Duplicate
25015,8687465481.0,2.0,1005,2023-01-14,1407.07,8687465481,2024-06-08 09:57:23,2024-06-08 13:24:23,893,273,Samuelmouth,Simmonsland,Duplicate
25016,4116429775.0,5.0,1004,2023-01-22,2101.64,4116429775,2024-06-16 17:16:32,2024-06-16 18:44:32,202,287,New Kristen,Raymondville,Duplicate
25017,1469814487.0,5.0,1005,2023-01-24,4025.0,1469814487,2024-06-11 02:55:35,2024-06-11 03:41:35,625,264,Richardville,New Elizabeth,Duplicate
25018,4347025531.0,6.0,1002,2022-07-02,3575.17,4347025531,2024-06-07 09:21:00,2024-06-07 12:37:00,710,300,Aaronhaven,South Justinhaven,Duplicate
25019,5645426058.0,5.0,1006,2021-01-06,2031.36,5645426058,2024-06-01 19:26:50,2024-06-01 20:04:50,160,495,North Autumn,East Joshuachester,Duplicate
25021,2853823258.0,2.0,1009,2024-06-07,2548.21,2853823258,2024-06-07 13:27:56,2024-06-07 16:10:56,524,315,South Annaberg,Maxview,Duplicate
25022,1357197664.0,9.0,1000,2024-05-16,2629.48,1357197664,2024-06-17 23:03:59,2024-06-18 03:01:59,447,187,Timothyside,Port Peterstad,Duplicate
25023,5390874649.0,10.0,1003,2020-03-12,1568.6,5390874649,2024-06-17 07:18:07,2024-06-17 08:17:07,475,188,Andrewview,Allisonstad,Duplicate
25024,1556619073.0,10.0,1005,2022-02-02,620.75,1556619073,2024-05-29 01:17:52,2024-05-29 02:44:52,387,278,South Dustin,East Carol,Duplicate
25025,8666614230.0,1.0,1009,2021-04-06,4922.4,8666614230,2024-05-31 15:11:11,2024-05-31 19:40:11,205,52,Port Russellshire,Jameschester,Duplicate
25026,4204596480.0,17.0,XXXX,2022-11-12,3721.73,4204596480,2024-06-19 22:01:02,2024-06-20 01:41:02,342,409,Richardsville,West Patriciaville,Duplicate
25027,217643468.0,6.0,1005,2020-02-28,2979.21,0217643468,2024-06-05 21:50:29,2024-06-06 01:23:29,298,211,Bakerchester,North Victorborough,Duplicate
25028,305579544.0,8.0,1000,2021-02-26,4594.5,0305579544,2024-06-06 03:28:54,2024-06-06 04:39:54,677,404,Lake Jenniferchester,West Jason,Duplicate
25029,67446101.0,10.0,1008,2022-08-14,908.34,0067446101,2024-06-20 05:51:55,2024-06-20 08:45:55,457,63,Roseton,Richardfurt,Duplicate
25030,425093413.0,4.0,1006,2020-11-03,4187.46,0425093413,2024-06-12 20:04:34,2024-06-12 21:37:34,545,70,East Christina,Alexandriashire,Duplicate
25031,7293268078.0,1.0,1005,2021-07-14,3586.44,7293268078,2024-06-13 20:13:30,2024-06-13 23:23:30,958,50,New Samuelside,New Billyport,Duplicate
25032,9604082310.0,2.0,1000,2022-10-22,1404.27,9604082310,2024-06-04 14:09:36,2024-06-04 14:52:36,504,419,New Ralphbury,East Katherinebury,Duplicate
25033,6214476895.0,2.0,1002,2023-09-04,3440.25,6214476895,2024-06-14 04:59:35,2024-06-14 05:29:35,90,105,New Mackenzieside,Markburgh,Duplicate
25034,4805868350.0,8.0,1003,2021-03-19,769.8,4805868350,2024-06-03 22:20:23,2024-06-03 23:53:23,778,271,New Melissa,New Kathy,Duplicate
25035,1155905820.0,8.0,1002,2020-01-05,3808.97,1155905820,2024-06-02 02:00:48,2024-06-02 05:20:48,323,169,Williamsside,Marcuston,Duplicate
25036,5871969127.0,5.0,1000,2022-11-28,2472.78,5871969127,2024-06-07 21:38:37,2024-06-08 01:52:37,489,125,Karenchester,Smithmouth,Duplicate
25037,1013083579.0,4.0,1005,2023-08-07,2579.29,1013083579,2024-06-19 04:45:30,2024-06-19 09:40:30,602,59,Christopherview,Lindaport,Duplicate
25038,8427168194.0,7.0,1009,2024-05-29,1347.56,8427168194,2024-06-07 08:02:32,2024-06-07 11:20:32,209,280,Michaelville,Port Jamesview,Duplicate
25039,6752129516.0,10.0,1005,2021-01-17,2595.46,6752129516,2024-06-10 21:54:02,2024-06-11 01:25:02,124,267,South Troyhaven,Tonytown,Duplicate
25040,9990562649.0,9.0,1007,2020-11-09,3572.62,9990562649,2024-06-11 23:01:40,2024-06-12 01:01:40,712,357,Raymondburgh,Bishopport,Duplicate
25041,566036316.0,12.0,1000,2021-02-12,1292.4,0566036316,2024-06-08 14:18:24,2024-06-08 18:35:24,467,184,West Steven,Aguirreberg,Duplicate
25043,9622586195.0,3.0,1006,2023-05-01,3291.6,9622586195,2024-06-03 13:37:42,2024-06-03 17:23:42,98,480,Robersonside,Josephstad,Duplicate
25044,8972556577.0,1.0,1000,2024-05-09,1791.17,8972556577,2024-06-07 03:48:10,2024-06-07 07:05:10,181,126,Leebury,Riveraborough,Duplicate
25047,1012674139.0,1.0,1008,2020-02-15,930.32,1012674139,2024-05-27 18:06:53,2024-05-27 21:23:53,663,203,Elliottfurt,East Sarahmouth,Duplicate
25048,8705194639.0,5.0,1004,2023-10-21,4139.27,8705194639,2024-05-28 09:56:24,2024-05-28 12:52:24,816,337,Lake Vanessatown,Hudsonberg,Duplicate
